Question Number,Initials,Email,Location,Duration,Format,Questioner,Question Type,Difficulty,Asked At,Question Date,Question Time,Question Half Hour,Question Weekday,Added At (GMT),Tags,Site,Account,Question,Answer
19299,rsg,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2012-08-01 09:13:00 AM,2012-08-01,09:13:00 AM,09:00:00 AM,Wednesday,2012-08-01 16:13:16 GMT,library_card,King Library Reference,King Reference,"",""
19300,rsg,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,1 - Directional,"",2012-08-01 09:24:00 AM,2012-08-01,09:24:00 AM,09:30:00 AM,Wednesday,2012-08-01 16:24:58 GMT,map,King Library Reference,King Reference,"",""
19301,rsg,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,Phone (Remote),SJSU Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2012-08-01 09:25:00 AM,2012-08-01,09:25:00 AM,09:30:00 AM,Wednesday,2012-08-01 16:25:06 GMT,ebooks,King Library Reference,King Reference,"",""
19302,EAT,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Librarian,1 - Directional,"",2012-08-01 09:28:00 AM,2012-08-01,09:28:00 AM,09:30:00 AM,Wednesday,2012-08-01 16:28:27 GMT,"",King Library Reference,King Reference,"",""
19305,jt,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,1 - Directional,"",2012-08-01 09:34:00 AM,2012-08-01,09:34:00 AM,09:30:00 AM,Wednesday,2012-08-01 16:45:05 GMT,restroom,King Library Reference,King Reference,where is the restroom?,""
19303,EAT,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Librarian,2 - Technical (Equipment &amp; Basic OPAC),"",2012-08-01 09:36:00 AM,2012-08-01,09:36:00 AM,09:30:00 AM,Wednesday,2012-08-01 16:36:32 GMT,"",King Library Reference,King Reference,"",""
19304,jt,kinglibraryreference@gmail.com,2nd Floor,6-15 minutes,In-Person,SJSU Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2012-08-01 09:42:00 AM,2012-08-01,09:42:00 AM,09:30:00 AM,Wednesday,2012-08-01 16:42:44 GMT,ebook overdrive faq support how to sjpl branch,King Library Reference,King Reference,"",""
19306,rsg,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,3 - Simple Strategy (Reference),"",2012-08-01 09:47:00 AM,2012-08-01,09:47:00 AM,10:00:00 AM,Wednesday,2012-08-01 16:47:27 GMT,research,King Library Reference,King Reference,"",""
19307,jt,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2012-08-01 09:55:00 AM,2012-08-01,09:55:00 AM,10:00:00 AM,Wednesday,2012-08-01 16:55:15 GMT,RAC,King Library Reference,King Reference,what time will the computers become available?,""
19308,rsg,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2012-08-01 09:56:00 AM,2012-08-01,09:56:00 AM,10:00:00 AM,Wednesday,2012-08-01 16:56:36 GMT,Computer,King Library Reference,King Reference,"",""
19309,EAT,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Librarian,3 - Simple Strategy (Reference),"",2012-08-01 10:07:00 AM,2012-08-01,10:07:00 AM,10:00:00 AM,Wednesday,2012-08-01 17:07:25 GMT,"",King Library Reference,King Reference,"",""
19310,EAT,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Librarian,3 - Simple Strategy (Reference),"",2012-08-01 10:22:00 AM,2012-08-01,10:22:00 AM,10:30:00 AM,Wednesday,2012-08-01 17:22:00 GMT,"",King Library Reference,King Reference,Where are the DSM books?,Ready Reference 2nd floor.
19311,EAT,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Librarian,1 - Directional,"",2012-08-01 10:32:00 AM,2012-08-01,10:32:00 AM,10:30:00 AM,Wednesday,2012-08-01 17:32:32 GMT,"",King Library Reference,King Reference,"",""
19312,bn,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2012-08-01 10:33:00 AM,2012-08-01,10:33:00 AM,10:30:00 AM,Wednesday,2012-08-01 17:33:50 GMT,directional,King Library Reference,King Reference,"",""
19313,bn,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2012-08-01 10:33:00 AM,2012-08-01,10:33:00 AM,10:30:00 AM,Wednesday,2012-08-01 17:33:58 GMT,database,King Library Reference,King Reference,"",""
19314,bn,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJPL Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2012-08-01 10:39:00 AM,2012-08-01,10:39:00 AM,10:30:00 AM,Wednesday,2012-08-01 17:39:38 GMT,directional books,King Library Reference,King Reference,"",""
