Question Number,Initials,Email,Location,Duration,Format,Questioner,Question Type,Difficulty,Asked At,Question Date,Question Time,Question Half Hour,Question Weekday,Added At (GMT),Tags,Site,Account,Question,Answer
65356,CDM,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Librarian,3 - Simple Strategy (Reference),"",2013-01-02 01:05:00 AM,2013-01-02,01:05:00 AM,01:00:00 AM,Wednesday,2013-01-02 21:43:53 GMT,Computer,King Library Reference,King Reference,can you look up my horoscope?,""
65292,dl,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Librarian,1 - Directional,"",2013-01-02 08:17:00 AM,2013-01-02,08:17:00 AM,08:30:00 AM,Wednesday,2013-01-02 17:17:52 GMT,"",King Library Reference,King Reference,Bus schedules.,""
65295,jt,kinglibraryreference@gmail.com,2nd Floor,6-15 minutes,In-Person,SJSU Staff,1 - Directional,"",2013-01-02 09:02:00 AM,2013-01-02,09:02:00 AM,09:00:00 AM,Wednesday,2013-01-02 17:23:20 GMT,sjsu admissions ssc new student student_services,King Library Reference,King Reference,I need information on the Student Information desk.,"Patron is looking for the Student Services Center to find out if his credits can be applied in SJSU. Also gave him information on Admissions. Finally, showed him the map to get to 9th and San Fernando."
65317,kh,accessgimlet@gmail.com,Periodicals,0-5 minutes,In-Person,SJPL Staff,1 - Directional,"",2013-01-02 09:04:00 AM,2013-01-02,09:04:00 AM,09:00:00 AM,Wednesday,2013-01-02 19:13:08 GMT,newspapers san-jose-mercury-news,King Library Reference,King Reference,"",""
65437,jlm,kinglibraryreference@gmail.com,Administration,16-30 minutes,Email (Remote),SJPL Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2013-01-02 09:08:00 AM,2013-01-02,09:08:00 AM,09:00:00 AM,Wednesday,2013-01-03 0:27:45 GMT,ebook support,King Library Reference,King Reference,"I have an Nook HD+.  I installed overdrive and the adobe softwares.  I was able to download my ebook from the San Jose Library.  However, when I open the book I received an ""epub file error code 1060"".  I was not able to view the downloaded book.  I went last night to Barnes / Noble.  They had me delete & reload ""overdrive"" and Adobe.  I still have the same problem.  I'm not able to read the book!","After you have downloaded and installed the free software, the application requires that you to activate the program anonymously or by entering your Adobe ID and password. If you do not have an Adobe ID you can retrieve one by clicking on the “Get an Adobe ID Online” link.     Enter your Adobe ID and password to activate your account.      Nook HD+ using the OverDrive Media Console App     Go to the Barnes & Noble app store and download the OverDrive Mobile App.   When the app is installed on your mobile device, open it up and click “Get Books”, choose San Jose Public Library from the list, then you'll be directed to the library’s OverDrive catalog.   Log in with your library card and four digit pin number.   Browse the collection and choose your book (make sure you choose the EPUB format)   Click on the “Add to Cart” button.   Click on the “Proceed to Checkout” button.   Select your check out period from the drop down list: 7 or 14 days.   Click the “Confirm Checkout” button.   Click the “Download” button.   Your selected mp3 audiobook or EPUB format eBook will download directly to your device.    "
65311,kh,accessgimlet@gmail.com,Periodicals,0-5 minutes,In-Person,SJPL Staff,1 - Directional,"",2013-01-02 09:10:00 AM,2013-01-02,09:10:00 AM,09:00:00 AM,Wednesday,2013-01-02 19:10:25 GMT,newspapers,King Library Reference,King Reference,"",""
65291,MC,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,Phone (Remote),SJSU Staff,1 - Directional,"",2013-01-02 09:16:00 AM,2013-01-02,09:16:00 AM,09:30:00 AM,Wednesday,2013-01-02 17:16:44 GMT,reference phone,King Library Reference,King Reference,"Phone customer needed addressm phone, email, etc, of King Library",supplied info
65293,dl,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Librarian,2 - Technical (Equipment &amp; Basic OPAC),"",2013-01-02 09:18:00 AM,2013-01-02,09:18:00 AM,09:30:00 AM,Wednesday,2013-01-02 17:18:43 GMT,"",King Library Reference,King Reference,Computer reservation and log-in.,""
65294,jt,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2013-01-02 09:20:00 AM,2013-01-02,09:20:00 AM,09:30:00 AM,Wednesday,2013-01-02 17:20:09 GMT,books catalog encore,King Library Reference,King Reference,"I am looking for ""Cisco Training""... it is a book.",http://discover.sjlibrary.org/iii/encore_sjsu/record/C__Rb2430387
65312,kh,accessgimlet@gmail.com,Periodicals,0-5 minutes,In-Person,SJPL Staff,1 - Directional,"",2013-01-02 09:21:00 AM,2013-01-02,09:21:00 AM,09:30:00 AM,Wednesday,2013-01-02 19:11:00 GMT,directional stacks,King Library Reference,King Reference,"",""
